image_names,class
000001.jpg,0
000002.jpg,0
000003.jpg,1
000004.jpg,0
000005.jpg,0
000006.jpg,0
000007.jpg,1
000008.jpg,1
000009.jpg,0
000010.jpg,0
000011.jpg,0
000012.jpg,1
000013.jpg,1
000014.jpg,0
000015.jpg,1
000016.jpg,1
000017.jpg,0
000018.jpg,0
000019.jpg,0
000020.jpg,1
000021.jpg,1
000022.jpg,0
000023.jpg,1
000024.jpg,0
000025.jpg,1
000026.jpg,0
000027.jpg,0
000028.jpg,0
000029.jpg,0
000030.jpg,1
000031.jpg,0
000032.jpg,1
000033.jpg,1
000034.jpg,0
000035.jpg,0
000036.jpg,1
000037.jpg,1
000038.jpg,1
000039.jpg,0
000040.jpg,0
000041.jpg,1
000042.jpg,0
000043.jpg,0
000044.jpg,0
000045.jpg,0
000046.jpg,0
000047.jpg,0
000048.jpg,1
000049.jpg,1
000050.jpg,1
000051.jpg,1
000052.jpg,1
000053.jpg,1
000054.jpg,0
000055.jpg,1
000056.jpg,0
000057.jpg,0
000058.jpg,0
000059.jpg,0
000060.jpg,1
000061.jpg,1
000062.jpg,0
000063.jpg,0
000064.jpg,1
000065.jpg,1
000066.jpg,0
000067.jpg,1
000068.jpg,1
000069.jpg,1
000070.jpg,1
000071.jpg,0
000072.jpg,1
000073.jpg,0
000074.jpg,0
000075.jpg,0
000076.jpg,1
000077.jpg,0
000078.jpg,0
000079.jpg,1
000080.jpg,1
000081.jpg,1
000082.jpg,1
000083.jpg,0
000084.jpg,0
000085.jpg,0
000086.jpg,0
000087.jpg,0
000088.jpg,0
000089.jpg,0
000090.jpg,1
000091.jpg,1
000092.jpg,0
000093.jpg,0
000094.jpg,0
000095.jpg,0
000096.jpg,0
000097.jpg,0
000098.jpg,0
000099.jpg,0
000100.jpg,0
000101.jpg,0
000102.jpg,1
000103.jpg,0
000104.jpg,1
000105.jpg,1
000106.jpg,0
000107.jpg,0
000108.jpg,0
000109.jpg,1
000110.jpg,0
000111.jpg,0
000112.jpg,0
000113.jpg,1
000114.jpg,1
000115.jpg,1
000116.jpg,1
000117.jpg,0
000118.jpg,0
000119.jpg,1
000120.jpg,1
000121.jpg,0
000122.jpg,0
000123.jpg,1
000124.jpg,0
000125.jpg,1
000126.jpg,0
000127.jpg,1
000128.jpg,0
000129.jpg,1
000130.jpg,1
000131.jpg,0
000132.jpg,0
000133.jpg,0
000134.jpg,1
000135.jpg,1
000136.jpg,1
000137.jpg,1
000138.jpg,1
000139.jpg,0
000140.jpg,0
000141.jpg,0
000142.jpg,0
000143.jpg,1
000144.jpg,1
000145.jpg,0
000146.jpg,0
000147.jpg,0
000148.jpg,0
000149.jpg,0
000150.jpg,1
000151.jpg,0
000152.jpg,1
000153.jpg,1
000154.jpg,1
000155.jpg,0
000156.jpg,0
000157.jpg,0
000158.jpg,1
000159.jpg,0
000160.jpg,1
000161.jpg,0
000162.jpg,0
000163.jpg,0
000164.jpg,1
000165.jpg,0
000166.jpg,1
000167.jpg,0
000168.jpg,0
000169.jpg,1
000170.jpg,0
000171.jpg,1
000172.jpg,0
000173.jpg,0
000174.jpg,0
000175.jpg,0
000176.jpg,0
000177.jpg,0
000178.jpg,0
000179.jpg,0
000180.jpg,0
000181.jpg,1
000182.jpg,1
000183.jpg,0
000184.jpg,0
000185.jpg,0
000186.jpg,0
000187.jpg,1
000188.jpg,1
000189.jpg,0
000190.jpg,0
000191.jpg,0
000192.jpg,0
000193.jpg,1
000194.jpg,1
000195.jpg,1
000196.jpg,1
000197.jpg,1
000198.jpg,0
000199.jpg,1
000200.jpg,1
000201.jpg,0
000202.jpg,1
000203.jpg,1
000204.jpg,0
000205.jpg,1
000206.jpg,1
000207.jpg,0
000208.jpg,0
000209.jpg,1
000210.jpg,1
000211.jpg,0
000212.jpg,1
000213.jpg,1
000214.jpg,1
000215.jpg,1
000216.jpg,0
000217.jpg,0
000218.jpg,0
000219.jpg,0
000220.jpg,1
000221.jpg,1
000222.jpg,0
000223.jpg,1
000224.jpg,1
000225.jpg,0
000226.jpg,1
000227.jpg,1
000228.jpg,0
000229.jpg,1
000230.jpg,1
000231.jpg,0
000232.jpg,0
000233.jpg,0
000234.jpg,1
000235.jpg,1
